Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-09-11,19:29:39,"""CNR2987763""",Completed,"""CID2669710""",Go Mini,Malviya Nagar,Ghitorni Village,12.2,28.2,null,null,null,null,null,null,394,21.44,4.1,4.7,UPI
2024-10-18,18:28:53,"""CNR8962232""",Completed,"""CID1789354""",Go Mini,Madipur,GTB Nagar,14.0,30.9,null,null,null,null,null,null,836,39.55,4.7,4.4,UPI
2024-06-07,15:05:35,"""CNR2390352""",Completed,"""CID5432215""",Auto,Jama Masjid,Khan Market,8.5,36.9,null,null,null,null,null,null,410,34.76,4.0,4.9,Uber Wallet
2024-07-01,10:51:16,"""CNR3221338""",Completed,"""CID2581698""",Premier Sedan,IGI Airport,Madipur,5.6,27.5,null,null,null,null,null,null,401,21.97,4.9,4.3,UPI
2024-12-15,15:08:25,"""CNR6739317""",Cancelled by Driver,"""CID8682675""",Go Sedan,Vinobapuri,GTB Nagar,6.0,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-11-24,09:07:10,"""CNR6126048""",Cancelled by Customer,"""CID1060329""",eBike,Kashmere Gate,Anand Vihar,12.4,null,1,Driver is not moving towards pickup location,null,null,null,null,null,null,null,null,null
2024-05-24,19:53:57,"""CNR9465840""",Cancelled by Driver,"""CID9046501""",eBike,Pitampura,Rajiv Nagar,10.3,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-12-14,21:27:04,"""CNR9843229""",Completed,"""CID4929303""",Go Sedan,Punjabi Bagh,Mansarovar Park,6.1,33.7,null,null,null,null,null,null,264,13.64,3.8,4.7,Uber Wallet
2024-07-29,06:28:22,"""CNR7911434""",Completed,"""CID8465004""",Auto,Greater Noida,Botanical Garden,7.0,21.3,null,null,null,null,null,null,183,4.5,5.0,4.2,UPI
2024-02-23,11:02:45,"""CNR6178330""",Completed,"""CID7719678""",Go Mini,Tis Hazari,IMT Manesar,10.4,25.1,null,null,null,null,null,null,713,38.03,3.7,3.6,UPI
2024-03-09,20:14:24,"""CNR5309981""",Completed,"""CID3870048""",Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,null,null,null,null,null,null,113,14.53,4.6,4.9,UPI
2024-08-28,16:30:14,"""CNR2978950""",Completed,"""CID2977484""",Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,null,null,null,null,null,null,767,7.39,3.8,4.6,Debit Card
2024-08-08,06:34:38,"""CNR2806943""",Completed,"""CID7550481""",Uber XL,Okhla,Barakhamba Road,5.1,20.7,null,null,null,null,null,null,495,10.23,3.8,4.2,Credit Card
2024-01-26,09:44:00,"""CNR3614535""",Cancelled by Driver,"""CID2507102""",Auto,Cyber Hub,Saket,11.5,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-04-12,19:42:35,"""CNR4499383""",No Driver Found,"""CID5717521""",Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-04-05,18:57:12,"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,3.1,28.2,null,null,null,null,1,Vehicle Breakdown,304,1.98,null,null,UPI
2024-11-03,12:24:59,"""CNR8779845""",Completed,"""CID7444351""",Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,null,null,null,null,null,null,2847,39.21,3.1,4.6,Debit Card
2024-05-18,17:37:52,"""CNR2178654""",Cancelled by Driver,"""CID3631860""",Go Mini,Qutub Minar,Vishwavidyalaya,9.2,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024-11-15,05:53:55,"""CNR3871541""",Completed,"""CID9849259""",Go Mini,Mundka,Preet Vihar,8.9,41.0,null,null,null,null,null,null,282,8.36,3.8,4.4,UPI
2024-02-04,18:08:04,"""CNR2877692""",Completed,"""CID5901711""",Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,null,null,null,null,null,null,656,6.39,5.0,4.9,Uber Wallet
2024-05-29,14:05:10,"""CNR9603633""",Completed,"""CID5856503""",Auto,Tis Hazari,Shahdara,2.0,19.4,null,null,null,null,null,null,134,46.66,3.8,4.4,Credit Card
2024-07-13,19:53:15,"""CNR8087051""",Cancelled by Driver,"""CID9716528""",Go Sedan,New Colony,Ghitorni Village,5.4,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-06-07,19:21:10,"""CNR7823292""",Completed,"""CID9377721""",Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,null,null,null,null,null,null,470,27.07,3.7,4.2,Cash
2024-05-16,13:04:31,"""CNR9918895""",Completed,"""CID9520433""",Auto,New Delhi Railway Station,Noida Film City,6.7,20.5,null,null,null,null,null,null,187,12.16,4.9,4.3,UPI
2024-10-02,03:10:35,"""CNR7401001""",Completed,"""CID9958715""",Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30.0,null,null,null,null,null,null,186,10.28,4.4,4.6,UPI
2024-02-26,15:43:16,"""CNR2631310""",Completed,"""CID4355670""",eBike,Seelampur,Janakpuri,10.0,35.8,null,null,null,null,null,null,70,44.42,4.1,4.4,UPI
2024-09-10,13:02:42,"""CNR4218487""",Cancelled by Customer,"""CID3037053""",Bike,Noida Extension,Udyog Vihar Phase 4,11.0,null,1,Driver is not moving towards pickup location,null,null,null,null,null,null,null,null,null
2024-09-12,09:14:57,"""CNR5333099""",Cancelled by Driver,"""CID5112050""",Auto,Adarsh Nagar,Civil Lines Gurgaon,8.0,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-01-24,10:47:57,"""CNR5969954""",Completed,"""CID5558118""",Auto,Vinobapuri,Karkarduma,12.8,18.7,null,null,null,null,null,null,273,34.64,4.5,4.6,Uber Wallet
2024-02-12,19:42:39,"""CNR4130953""",Incomplete,"""CID3196782""",Premier Sedan,Panipat,Tagore Garden,6.4,10.5,null,null,null,null,1,Other Issue,966,18.3,null,null,Debit Card
2024-10-02,19:17:00,"""CNR6693125""",Cancelled by Driver,"""CID7364449""",Auto,Karol Bagh,Tagore Garden,5.4,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024-04-01,21:14:19,"""CNR9572979""",Completed,"""CID3474992""",Go Sedan,Sultanpur,Noida Extension,12.2,42.3,null,null,null,null,null,null,251,20.91,4.2,3.6,Debit Card
2024-09-18,21:06:36,"""CNR6444364""",Cancelled by Driver,"""CID8262635""",Go Mini,Moti Nagar,Anand Vihar ISBT,6.6,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024-08-02,07:17:07,"""CNR4862806""",Cancelled by Customer,"""CID7875150""",Auto,Shastri Park,Anand Vihar ISBT,11.3,null,1,Driver asked to cancel,null,null,null,null,null,null,null,null,null
2024-09-30,13:10:50,"""CNR4674790""",Incomplete,"""CID4795905""",Bike,Dilshad Garden,Nehru Place,2.3,29.7,null,null,null,null,1,Vehicle Breakdown,453,19.24,null,null,Debit Card
2024-06-16,00:44:47,"""CNR6866217""",Completed,"""CID7798304""",Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,null,null,null,null,null,null,246,8.13,4.2,4.5,UPI
2024-09-18,09:33:55,"""CNR4932611""",Completed,"""CID8795963""",Auto,Aya Nagar,Karkarduma,8.8,25.2,null,null,null,null,null,null,237,2.96,3.9,3.3,UPI
2024-05-04,21:26:59,"""CNR1572483""",Incomplete,"""CID6059557""",Go Mini,Rajiv Chowk,Central Secretariat,9.9,21.6,null,null,null,null,1,Vehicle Breakdown,1581,1.82,null,null,Cash
2024-06-03,18:14:47,"""CNR6945858""",Completed,"""CID9079088""",Go Mini,MG Road,Hauz Rani,4.1,25.1,null,null,null,null,null,null,379,33.04,4.2,4.5,Uber Wallet
2024-10-03,22:20:34,"""CNR6584679""",Completed,"""CID4738537""",Go Mini,Jasola,Palam Vihar,11.2,40.7,null,null,null,null,null,null,545,44.7,4.3,4.3,Cash
2024-05-25,11:24:29,"""CNR6125653""",Completed,"""CID2808212""",Go Mini,Kashmere Gate,RK Puram,3.0,35.4,null,null,null,null,null,null,479,7.38,4.2,4.6,UPI
2024-03-04,17:46:46,"""CNR6092529""",Cancelled by Driver,"""CID5040634""",Go Sedan,Ardee City,Basai Dhankot,11.2,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024-11-10,05:13:57,"""CNR6339107""",Completed,"""CID7358763""",Go Mini,Punjabi Bagh,Madipur,9.1,23.2,null,null,null,null,null,null,647,24.93,4.3,4.7,Uber Wallet
2024-09-11,10:36:44,"""CNR1349015""",Cancelled by Driver,"""CID9386278""",Auto,Meerut,Badarpur,4.3,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024-04-11,15:43:34,"""CNR9773309""",No Driver Found,"""CID9965847""",Uber XL,Anand Vihar ISBT,Dwarka Sector 21,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-06-01,10:03:27,"""CNR2107544""",Completed,"""CID1266188""",Premier Sedan,Mayur Vihar,Palam Vihar,11.4,42.1,null,null,null,null,null,null,125,25.16,4.3,5.0,Credit Card
2024-05-09,10:44:30,"""CNR4171959""",Cancelled by Driver,"""CID8470723""",Premier Sedan,Lajpat Nagar,Ramesh Nagar,6.3,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-07-30,12:02:26,"""CNR5316307""",Completed,"""CID1816553""",Premier Sedan,Tughlakabad,Akshardham,12.4,21.5,null,null,null,null,null,null,375,48.85,3.3,3.3,Cash
2024-02-25,16:23:19,"""CNR3635865""",Completed,"""CID6477355""",Auto,Cyber Hub,Yamuna Bank,11.7,33.0,null,null,null,null,null,null,310,24.41,4.6,3.8,Debit Card
2024-02-09,11:15:59,"""CNR2497989""",Cancelled by Customer,"""CID5007066""",Auto,Karkarduma,IGI Airport,16.6,null,1,Driver is not moving towards pickup location,null,null,null,null,null,null,null,null,null
2024-03-02,04:59:03,"""CNR8946337""",Cancelled by Driver,"""CID6438326""",Go Sedan,Shastri Nagar,New Colony,5.4,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-08-27,18:22:02,"""CNR3740694""",Incomplete,"""CID5885514""",Auto,Aya Nagar,Green Park,2.3,10.1,null,null,null,null,1,Vehicle Breakdown,370,13.85,null,null,Cash
2024-03-08,09:28:38,"""CNR4660896""",Cancelled by Driver,"""CID5486947""",Premier Sedan,Dwarka Mor,ITO,5.8,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024-03-20,09:59:11,"""CNR2513330""",Cancelled by Driver,"""CID7805280""",Premier Sedan,Adarsh Nagar,Noida Extension,6.7,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024-01-25,12:39:21,"""CNR9252424""",Completed,"""CID9413620""",eBike,Vidhan Sabha,Mehrauli,12.1,18.1,null,null,null,null,null,null,291,3.71,3.2,4.3,UPI
2024-04-11,11:14:35,"""CNR3096031""",Completed,"""CID3101926""",Auto,Anand Vihar,Saket,5.8,24.3,null,null,null,null,null,null,114,32.98,4.3,4.5,Uber Wallet
2024-06-17,20:25:47,"""CNR4141159""",Completed,"""CID6810411""",Go Mini,Uttam Nagar,New Delhi Railway Station,4.0,44.5,null,null,null,null,null,null,464,11.2,4.5,4.2,Cash
2024-07-29,19:52:48,"""CNR6757829""",Completed,"""CID8433663""",Go Sedan,Model Town,Mundka,3.4,27.1,null,null,null,null,null,null,160,45.4,4.0,5.0,Cash
2024-12-22,10:53:20,"""CNR6204326""",Cancelled by Driver,"""CID9419495""",Auto,Mandi House,India Gate,11.1,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-12-21,21:40:00,"""CNR3347993""",Completed,"""CID4871438""",eBike,Ghitorni,Pitampura,9.9,38.5,null,null,null,null,null,null,206,28.78,4.1,3.7,Cash
2024-02-23,11:38:09,"""CNR6796311""",Incomplete,"""CID1880505""",Go Mini,Ghitorni Village,Palam Vihar,5.9,17.2,null,null,null,null,1,Customer Demand,217,2.81,null,null,Credit Card
2024-05-05,21:22:39,"""CNR3908312""",Completed,"""CID8787746""",Bike,Okhla,Netaji Subhash Place,8.1,37.3,null,null,null,null,null,null,633,17.34,4.5,4.9,Credit Card
2024-11-08,17:01:10,"""CNR9416323""",Completed,"""CID1025742""",Auto,DLF City Court,Udyog Vihar Phase 4,6.1,28.2,null,null,null,null,null,null,717,9.38,4.2,4.5,UPI
2024-12-26,21:21:55,"""CNR2912296""",Completed,"""CID8094609""",Go Sedan,Rajiv Nagar,Ramesh Nagar,6.0,26.7,null,null,null,null,null,null,151,11.9,4.9,4.5,UPI
2024-09-05,07:44:18,"""CNR4611314""",Completed,"""CID6968311""",Premier Sedan,Sohna Road,New Delhi Railway Station,5.0,34.7,null,null,null,null,null,null,512,35.66,3.7,4.9,UPI
2024-11-25,08:29:14,"""CNR2601752""",Cancelled by Customer,"""CID9283370""",Go Sedan,Sadar Bazar Gurgaon,Indraprastha,12.0,null,1,Driver asked to cancel,null,null,null,null,null,null,null,null,null
2024-08-15,18:40:03,"""CNR5793527""",Cancelled by Driver,"""CID5705499""",Premier Sedan,Anand Vihar ISBT,Rohini,3.2,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-02-10,09:17:39,"""CNR4487090""",Completed,"""CID1210782""",Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,null,null,null,null,null,null,1390,21.79,5.0,4.9,UPI
2024-09-26,11:33:51,"""CNR5266935""",Cancelled by Driver,"""CID2831708""",Premier Sedan,Bahadurgarh,Pataudi Chowk,3.9,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024-07-01,17:39:56,"""CNR1487489""",Completed,"""CID3403699""",Bike,Moolchand,Karol Bagh,3.9,23.0,null,null,null,null,null,null,224,7.86,4.1,4.2,Cash
2024-10-19,16:24:50,"""CNR6351034""",Completed,"""CID2038230""",Auto,Uttam Nagar,Vaishali,8.4,31.3,null,null,null,null,null,null,708,18.04,4.6,4.8,UPI
2024-02-09,10:51:01,"""CNR7600870""",Completed,"""CID7289498""",Auto,INA Market,IFFCO Chowk,7.7,43.7,null,null,null,null,null,null,153,15.18,4.2,3.6,Uber Wallet
2024-03-31,12:37:12,"""CNR5444321""",Cancelled by Driver,"""CID3326946""",Bike,Sushant Lok,Noida Sector 62,6.3,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null,null
2024-12-11,17:05:36,"""CNR8509610""",Completed,"""CID8227993""",Bike,IIT Delhi,Mansarovar Park,5.0,35.0,null,null,null,null,null,null,72,13.38,4.7,4.2,Cash
2024-06-19,16:19:41,"""CNR6851549""",Incomplete,"""CID9560489""",Go Sedan,Satguru Ram Singh Marg,Punjabi Bagh,8.9,15.6,null,null,null,null,1,Customer Demand,282,11.81,null,null,UPI
2024-06-20,18:58:36,"""CNR3318044""",No Driver Found,"""CID4051792""",Go Mini,Adarsh Nagar,Gwal Pahari,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-07-10,02:23:12,"""CNR3126177""",Completed,"""CID1851430""",Premier Sedan,Munirka,Saidulajab,10.9,43.6,null,null,null,null,null,null,696,30.9,4.7,3.7,UPI
2024-02-06,21:27:00,"""CNR6453539""",Incomplete,"""CID6999817""",eBike,New Colony,Jasola,5.7,18.0,null,null,null,null,1,Vehicle Breakdown,936,14.91,null,null,Uber Wallet
2024-09-30,12:34:51,"""CNR7449144""",Completed,"""CID8609350""",Auto,IGNOU Road,Tis Hazari,8.6,32.7,null,null,null,null,null,null,2169,44.25,4.4,4.3,Uber Wallet
2024-09-20,13:09:16,"""CNR1970319""",Completed,"""CID6085619""",eBike,Meerut,Udyog Bhawan,9.5,24.6,null,null,null,null,null,null,136,45.46,3.2,3.8,Uber Wallet
2024-04-30,20:25:28,"""CNR4415815""",Completed,"""CID8351180""",Go Mini,Punjabi Bagh,Saket A Block,4.6,38.9,null,null,null,null,null,null,214,2.91,4.1,4.7,UPI
2024-06-04,20:38:07,"""CNR3899082""",Completed,"""CID5467225""",Go Mini,Akshardham,Mayur Vihar,10.3,16.4,null,null,null,null,null,null,835,37.57,4.2,4.8,UPI
2024-10-30,16:29:36,"""CNR3274519""",Cancelled by Driver,"""CID3829804""",eBike,Chhatarpur,Gurgaon Sector 29,6.0,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024-08-11,18:21:32,"""CNR3263958""",Completed,"""CID3231090""",Go Sedan,IMT Manesar,Ashram,2.6,36.2,null,null,null,null,null,null,705,40.18,3.9,4.8,UPI
2024-05-21,17:39:58,"""CNR5822542""",No Driver Found,"""CID1628370""",Uber XL,Madipur,DLF City Court,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-10-08,08:52:57,"""CNR9652983""",Completed,"""CID4773175""",Go Sedan,Azadpur,Khan Market,2.1,35.5,null,null,null,null,null,null,480,20.22,4.3,4.8,Debit Card
2024-03-26,18:59:52,"""CNR2598306""",Cancelled by Customer,"""CID5704025""",Premier Sedan,Chhatarpur,Badshahpur,14.4,null,1,AC is not working,null,null,null,null,null,null,null,null,null
2024-06-24,18:04:39,"""CNR3274827""",Completed,"""CID3134967""",Go Mini,Cyber Hub,Old Gurgaon,7.5,41.7,null,null,null,null,null,null,707,44.76,4.8,4.4,UPI
2024-03-28,19:20:01,"""CNR9139265""",Cancelled by Driver,"""CID4003339""",Bike,Jhilmil,DLF Phase 3,9.9,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-09-27,20:16:53,"""CNR8036415""",Completed,"""CID9244184""",eBike,Sikanderpur,Greater Noida,10.0,38.0,null,null,null,null,null,null,865,43.34,3.2,3.8,Cash
2024-04-26,15:45:51,"""CNR8433849""",Completed,"""CID7659765""",Bike,Mayur Vihar,IGNOU Road,10.8,40.0,null,null,null,null,null,null,768,5.97,4.3,4.8,Cash
2024-05-19,18:47:16,"""CNR2948784""",Completed,"""CID7747807""",Bike,Rohini West,Yamuna Bank,7.0,37.0,null,null,null,null,null,null,626,27.96,3.9,4.3,Uber Wallet
2024-06-05,11:16:12,"""CNR1996806""",Completed,"""CID2293483""",Go Mini,Mandi House,Bahadurgarh,9.2,40.4,null,null,null,null,null,null,443,21.19,4.2,5.0,UPI
2024-01-07,16:21:31,"""CNR6241612""",Cancelled by Customer,"""CID5715130""",Auto,Azadpur,Hauz Rani,7.9,null,1,Driver asked to cancel,null,null,null,null,null,null,null,null,null
2024-04-19,14:14:27,"""CNR5222120""",Completed,"""CID2370613""",Go Sedan,Aya Nagar,Chandni Chowk,9.9,28.7,null,null,null,null,null,null,226,47.63,3.6,4.1,UPI
2024-03-31,16:34:57,"""CNR6596872""",Completed,"""CID2589193""",Auto,Shastri Nagar,Saket A Block,12.8,30.6,null,null,null,null,null,null,449,24.4,3.3,4.1,UPI
2024-03-26,19:13:05,"""CNR7149058""",Completed,"""CID7341591""",Go Mini,Vinobapuri,Shastri Park,5.9,21.1,null,null,null,null,null,null,778,7.49,4.3,4.9,UPI
2024-06-10,15:24:51,"""CNR5726463""",Completed,"""CID3407189""",Bike,Rohini West,Yamuna Bank,14.7,18.8,null,null,null,null,null,null,361,24.44,4.3,4.8,UPI
2024-08-16,17:05:19,"""CNR3975551""",Completed,"""CID2944423""",Auto,Kashmere Gate ISBT,New Colony,3.5,30.4,null,null,null,null,null,null,235,9.2,4.3,3.9,UPI
2024-02-04,15:32:16,"""CNR8637930""",Completed,"""CID8137475""",Go Sedan,Rohini,Botanical Garden,8.6,15.9,null,null,null,null,null,null,186,28.09,4.2,4.4,Cash
2024-06-24,18:46:34,"""CNR9935095""",Incomplete,"""CID7359331""",Uber XL,Kherki Daula Toll,Nawada,3.2,21.9,null,null,null,null,1,Other Issue,544,3.37,null,null,Cash
2024-03-23,11:31:18,"""CNR8893726""",No Driver Found,"""CID8335294""",Bike,IFFCO Chowk,Dilshad Garden,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-07-21,10:45:00,"""CNR3975051""",Cancelled by Customer,"""CID5797043""",Go Mini,Hauz Rani,Kaushambi,13.1,null,1,Driver asked to cancel,null,null,null,null,null,null,null,null,null
2024-09-22,06:39:39,"""CNR1984811""",Cancelled by Customer,"""CID6701334""",Auto,Dilshad Garden,Qutub Minar,8.1,null,1,Change of plans,null,null,null,null,null,null,null,null,null
2024-05-26,22:36:05,"""CNR7036055""",Completed,"""CID7359512""",Bike,Faridabad Sector 15,Vinobapuri,7.7,25.0,null,null,null,null,null,null,86,40.1,3.6,4.4,Cash
2024-03-30,13:55:19,"""CNR3449107""",Cancelled by Driver,"""CID8684841""",Auto,Sarai Kale Khan,Central Secretariat,8.1,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024-09-19,08:47:23,"""CNR6919653""",No Driver Found,"""CID5736754""",Go Mini,Vishwavidyalaya,MG Road,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-12-26,16:16:56,"""CNR8504461""",Completed,"""CID3984123""",Premier Sedan,Malviya Nagar,Chanakyapuri,8.3,43.7,null,null,null,null,null,null,234,42.5,3.7,4.9,Cash
2024-06-28,10:22:29,"""CNR3712671""",Cancelled by Driver,"""CID5160108""",eBike,Mayur Vihar,Vidhan Sabha,11.9,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null,null
2024-11-30,18:36:50,"""CNR8819329""",Completed,"""CID6695773""",Go Sedan,Vaishali,Tilak Nagar,6.0,44.4,null,null,null,null,null,null,758,41.42,4.9,3.6,Cash
2024-11-04,13:46:26,"""CNR3734278""",Incomplete,"""CID6462328""",Auto,Kashmere Gate ISBT,Laxmi Nagar,7.9,16.7,null,null,null,null,1,Other Issue,629,17.52,null,null,UPI
2024-04-16,19:41:40,"""CNR2472864""",Completed,"""CID7156852""",Auto,Maidan Garhi,Panchsheel Park,12.5,26.3,null,null,null,null,null,null,273,31.69,4.4,4.8,UPI
2024-09-12,05:52:14,"""CNR3239651""",Completed,"""CID9573465""",Auto,Yamuna Bank,Nirman Vihar,11.1,19.6,null,null,null,null,null,null,117,33.74,4.5,3.7,Debit Card
2024-06-07,18:08:10,"""CNR2646387""",Completed,"""CID8652330""",Go Sedan,Khan Market,Central Secretariat,13.3,15.8,null,null,null,null,null,null,955,36.82,3.7,3.7,UPI
2024-06-01,15:55:36,"""CNR4724814""",Completed,"""CID1251463""",Go Sedan,Pragati Maidan,Jama Masjid,9.7,31.5,null,null,null,null,null,null,139,38.75,4.4,4.3,UPI
2024-05-05,14:17:24,"""CNR2200152""",Completed,"""CID6635464""",Go Mini,Mansarovar Park,Rohini,13.3,30.7,null,null,null,null,null,null,255,17.07,4.3,4.4,Cash
2024-01-15,17:05:26,"""CNR5060137""",Completed,"""CID2961093""",Auto,Rithala,Aya Nagar,9.5,18.0,null,null,null,null,null,null,1212,19.18,4.3,4.3,UPI
2024-07-08,17:50:10,"""CNR9291876""",Completed,"""CID9026677""",Go Sedan,Shastri Park,Indraprastha,10.0,23.6,null,null,null,null,null,null,81,23.93,4.7,3.9,Debit Card
2024-08-14,17:41:00,"""CNR4212658""",Completed,"""CID5774800""",Auto,Cyber Hub,Udyog Bhawan,3.6,24.2,null,null,null,null,null,null,940,29.09,4.2,4.6,UPI
2024-07-31,17:07:36,"""CNR7677229""",Cancelled by Driver,"""CID8986725""",Auto,Jhilmil,Vidhan Sabha,8.5,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null,null
2024-05-08,16:37:21,"""CNR4415643""",Completed,"""CID4718297""",eBike,Saidulajab,Hauz Khas,10.0,17.9,null,null,null,null,null,null,98,27.55,4.2,4.1,Cash
2024-07-29,12:28:32,"""CNR4092218""",Completed,"""CID5726360""",Premier Sedan,Tughlakabad,Meerut,5.9,15.5,null,null,null,null,null,null,724,14.0,4.1,4.2,Cash
2024-08-09,16:41:35,"""CNR8034979""",Completed,"""CID1915443""",eBike,Kashmere Gate,Karkarduma,8.0,25.3,null,null,null,null,null,null,749,47.3,4.4,4.3,UPI
2024-08-15,22:15:54,"""CNR7228014""",No Driver Found,"""CID3515824""",eBike,Madipur,Saket,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-10-02,09:10:13,"""CNR1435581""",Completed,"""CID1856576""",Auto,Shastri Park,Barakhamba Road,11.5,37.4,null,null,null,null,null,null,244,14.59,4.1,4.8,UPI
2024-05-12,01:09:07,"""CNR5373942""",No Driver Found,"""CID7792143""",Auto,Nawada,Jahangirpuri,null,null,null,null,null,null,null,null,null,null,null,null,null
2024-02-20,18:51:34,"""CNR3434703""",Incomplete,"""CID3333217""",Auto,Shahdara,Bhiwadi,2.6,22.8,null,null,null,null,1,Vehicle Breakdown,351,8.68,null,null,UPI
2024-05-26,20:45:58,"""CNR6987620""",Completed,"""CID3121337""",Auto,Tilak Nagar,Azadpur,5.4,28.9,null,null,null,null,null,null,585,34.14,4.6,4.1,Debit Card
